Rice,Wheat,Maize,Jowar (Sorghum),Bajra (Pearl Millet),Ragi (Finger Millet),Barley,Gram (Chickpea),Tur (Pigeon Pea),Urad (Black Gram),Moong (Green Gram),Masoor (Red Lentil),Peas,Sugarcane,Cotton,Sunflower,Jute,Groundnut,Sesamum (Sesame),Tea,Coffee,Rubber,Coconut,Banana,Mango,Guava,Papaya,Potato,Onion,Carrot,Cauliflower,Turmeric,Dry Chillies,Coriander,Barseem,Napier Grass,Lucerne,Mustard,Rajma (Kidney Beans),Sugar Beet,Cabbage,Turnip,Radish,Spinach
80.00000000000001,49.82175148492548,84.80689744200261,50.00000000000001,52.309378712035,68.00031096442936,14.80689744200259,44.57755198762832,80.00000000000001,75.38562722722101,66.73203403402626,22.51218462026874,18.405912093145076,65.21941884742108,73.07586325600347,50.50031096442935,71.30718638638952,80.00000000000001,66.73203403402626,62.3450216995956,39.44741716172543,72.52287455455581,68.15359319319477,72.54398952799194,70.00000000000001,63.76827693040311,66.30718638638952,39.153904157624105,40.19252466922359,16.73203403402625,9.232034034026245,67.53812425759301,67.53655386080622,31.00031096442935,38.14023077533593,70.00000000000001,65.84551795360208,22.51218462026874,57.116276154037585,10.449609487370916,16.73203403402625,24.872264809362168,14.405412528508775,45.78455474972095
61.93408279314736,23.07624267419513,40.94242803380168,27.901124189721035,40.00000000000001,20.015488201013717,0.0,15.21511347110671,60.01032546734248,43.592615398755186,32.515488201013724,5.267416126480687,0.0,68.68161028248782,34.33458243302338,12.515488201013717,56.15425439548293,61.93408279314736,32.515488201013724,44.020439755089484,22.738524553583783,62.96250475085106,39.876405237151296,60.22306547600123,69.0010219906555,47.90112418972104,53.25093682476753,25.69149120903415,15.69149120903415,14.614364011292686,0.0,52.70358572346931,40.00000000000001,0.0,28.076242674195125,61.93408279314736,58.60074945981403,5.267416126480687,23.250936824767532,0.0,4.614364011292685,4.614364011292685,10.000000000000002,23.769074926462718
70.00000000000001,78.10182626988004,90.00000000000001,50.00000000000001,46.9544582126335,67.71584365947514,44.61031179237003,70.21584365947514,70.00000000000001,68.1726749275801,60.21584365947513,48.35491610056269,45.380267250602884,64.2240446687214,70.00000000000001,70.21584365947514,49.913662536209955,80.00000000000001,70.21584365947514,66.60910835747332,49.913662536209955,71.965465014484,67.45683126810499,61.472048104776896,70.00000000000001,70.00000000000001,64.91366253620997,75.70504907842412,72.78298671995013,33.28059196116317,22.715843659475127,56.60910835747331,70.00000000000001,62.715843659475134,67.94364512570337,70.00000000000001,80.00000000000001,48.35491610056269,56.954458212633504,44.89810333833685,49.54780673210944,58.15948878517848,48.190323593674925,60.21584365947513
88.49383170277532,52.617757928361534,63.14130951403384,37.74074755416297,45.16049836944199,57.74074755416297,50.00000000000001,50.00000000000001,66.11158963113685,37.74074755416297,37.74074755416297,50.00000000000001,50.00000000000001,78.8703737770815,73.75859350645224,47.74074755416297,87.29971902006459,77.88048135565664,37.74074755416297,68.9528968286554,78.4293452429831,67.7579863501668,57.17593444270371,80.00000000000001,73.40067959469361,77.74074755416298,74.78395629513582,50.00000000000001,50.00000000000001,50.00000000000001,50.00000000000001,87.44672853143071,39.38664965288132,50.00000000000001,57.617757928361534,78.49383170277532,69.38664965288133,50.00000000000001,60.00000000000001,50.00000000000001,50.00000000000001,50.00000000000001,50.00000000000001,50.00000000000001
77.59965570647317,40.00000000000001,50.00000000000001,26.39948355970974,34.266322373139836,46.39948355970974,40.00000000000001,40.00000000000001,47.599655706473165,26.39948355970974,26.39948355970974,40.00000000000001,40.00000000000001,68.19974177985488,42.43729186127657,36.39948355970974,78.19974177985488,47.599655706473165,26.39948355970974,80.00000000000001,70.00000000000001,77.42820254264983,45.499354449637174,70.00000000000001,62.18134869064522,50.517092562612625,63.66623629975812,40.00000000000001,40.00000000000001,40.00000000000001,40.00000000000001,77.59965570647317,10.000000000000002,40.00000000000001,40.00000000000001,51.717264709376046,40.00000000000001,40.00000000000001,50.00000000000001,40.00000000000001,40.00000000000001,40.00000000000001,40.00000000000001,40.00000000000001
79.83643690512234,41.13714336214342,55.398571975655365,40.981378569266,50.654252379510666,52.47828637078644,6.052824355166027,43.309546865157294,70.00000000000001,70.00000000000001,62.990689284633,15.63977662670162,10.995885501500975,73.43123163296201,50.531429300873825,45.468975655419435,48.80372428614681,70.00000000000001,62.990689284633,51.267721499753236,37.535629595135504,70.4345514078776,64.99972010655647,70.61824945088216,70.00000000000001,62.47828637078644,69.20229626180218,32.47828637078644,35.39857197565537,22.990689284633,15.490689284632996,55.86914952409787,34.95657274157288,25.96897565541943,30.000000000000004,80.00000000000001,58.3188575805243,14.985524247190957,46.05282435516603,10.654252379510663,22.990689284633,22.990689284633,13.417930611009139,53.358601877545645
66.00783225942052,36.62877537066023,64.74834789704978,44.011748389130766,50.00000000000001,34.518278688431764,10.000000000000002,27.681029225388176,73.01218579228785,58.416972628571564,47.018278688431764,19.341165592753843,14.29410599223626,89.14099134305687,51.12416487681196,27.01827868843176,76.79738788027962,76.00783225942052,47.018278688431764,49.541382244462035,48.47384487122191,67.58448971577668,67.51468548641346,93.77309564093432,74.5561348992098,64.01174838913077,78.34312365760898,24.405224239440802,24.405224239440802,13.006530299301001,10.000000000000002,67.2060908462736,40.00000000000001,12.01174838913076,37.004353532867334,86.00783225942052,62.67449892608718,19.341165592753843,28.34312365760897,10.000000000000002,13.006530299301001,13.006530299301001,10.000000000000002,36.86172136786313
41.61391291170189,40.00000000000001,30.527807985412498,10.633369582494995,23.75557972166333,30.633369582494996,40.00000000000001,40.00000000000001,37.08891305499667,10.633369582494995,10.633369582494995,40.00000000000001,40.00000000000001,67.76668466842342,24.037077313883326,30.633369582494996,56.74668461929377,37.08891305499667,10.633369582494995,70.52780798541251,73.62447448012544,66.166692558925,50.00000000000001,77.25384602157406,22.99251766470519,30.633369582494996,51.957807813458764,40.00000000000001,40.00000000000001,33.26673916498999,40.00000000000001,67.08891305499667,0.0,32.633369582495,40.00000000000001,37.08891305499667,40.00000000000001,40.00000000000001,30.527807985412498,40.00000000000001,40.00000000000001,40.00000000000001,40.00000000000001,50.00000000000001
62.1483790631332,80.00000000000001,66.23269491164329,48.94202304031365,60.658041889747594,60.45807435477821,80.00000000000001,80.00000000000001,70.30538290318547,50.00000000000001,50.00000000000001,80.00000000000001,80.00000000000001,51.41382042306979,56.110020020768836,55.98706283462138,47.9935314173107,66.54623894888483,50.00000000000001,33.18148876755965,43.32255236218449,38.763263867954656,29.894202304031364,57.8307657312051,33.45532626337871,46.86306795469108,36.44429030358055,75.9870628346214,80.00000000000001,63.97412566924276,71.97412566924277,50.51697829512275,42.554863725803905,67.9870628346214,76.31400768010457,54.86738034315062,69.87957228221818,80.00000000000001,69.28390105572693,80.00000000000001,74.2672326208877,80.00000000000001,80.00000000000001,76.91312525740108
70.00000000000001,40.229151587491614,66.11994158262767,50.00000000000001,40.00000000000001,40.00000000000001,30.55663362435482,42.44530689948386,50.0999513188564,40.00000000000001,40.00000000000001,37.111973566150525,33.33425739230413,70.00000000000001,62.5749634891423,50.00000000000001,76.94002920868618,71.5142439875912,50.00000000000001,67.96001947245746,60.82999616637432,68.77601168347448,70.00000000000001,80.00000000000001,70.00000000000001,70.00000000000001,70.00000000000001,30.667960349225783,30.55663362435482,10.000000000000002,10.000000000000002,67.96001947245746,61.5142439875912,38.66796034922579,33.98991827654455,70.00000000000001,71.5142439875912,37.111973566150525,40.00000000000001,23.889966957688156,10.000000000000002,23.889966957688156,23.889966957688156,34.35996949940446
